run,timesteps_total,time_total_s,episode_reward_mean,episode_reward_max,episode_reward_min,episode_len_mean,timers/sample_time_ms,timers/learn_time_ms,timers/sample_throughput,timers/learn_throughput
PPO_SP/PPO_Soccer_161cb_00000_0_2026-04-23_00-22-49,4500000,46387.27785420418,1.9013757821185369,1.982800006866455,-2.0,42.98961937716263,64207.134,68999.929,186.895,173.913
PPO_bc_finetune_vs_baseline_shaped_lr2e5_clip01_3p6M/PPO_BlueTeamVsBaselineShaped_06a1c_00000_0_2026-04-24_02-58-40,7200000,27364.845694303516,0.9078592787867156,2.263603642377568,-2.338424081471408,50.1,6672.5,25895.465,1198.951,308.934
PPO_team_vs_random/PPO_Soccer_e62bb_00000_0_2026-05-01_16-54-09,3600000,4574.061140537262,1.719911999553442,1.968000054359436,-2.0,103.48,8961.292,6221.911,1339.093,1928.668
